@relation 'training-set-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-L1-weka.filters.unsupervised.attribute.Remove-R3,4'

@attribute id numeric
@attribute cleaned_tweets string
@attribute subtask_c {IND,GRP,OTH}

@data
79972,'proven gun control laws intended disarm law abiding citizens subvert criminal care gun laws',GRP
30085,'mxm nigger thinks give fuck',IND
95773,'fake vote wants sympathy',IND
51053,'kids different women american jobless men nigerian men bomb',OTH
14131,'russian agent disgrace hey old creep going die prison trump sold america russians time time years crimes scumbag',IND
53995,'surprised pigs worked neonazis unmask antifa protestors local coverage shit journos like cover rely investigative coverage',GRP
82171,'americans lazy vote non voters skew liberal many liberals vote throw vote away rd party losers next question',OTH
50936,'sure call gated community private security firm bull connors though funny liberals love privatization police',GRP
97580,'wonder many children molested',IND
54991,'oh england views gun control stopped mattering',IND
55051,'antifa party amp sudden expect us believe care anyone besides nope',OTH
58548,'wonder apologized diamond silk calling minstrel show fired making faces',IND
41277,'awesome kavanaugh shake gun control dads hand sorry kid killed gun future judges fault happened omg white people cities silly',GRP
51592,'john podesta spirit cooking pedo photo valerie jarrett rather compromising situation maga qanon drainthedeepstate draintheswamp',IND
56068,'love way pisses liberals',GRP
88585,'auto correct gggrrr crazy witch',GRP
14234,'turned speech sounded like liberals becoming another nasty party personal attacks various individuals',GRP
97329,'another negative democrat refuses disappear',IND
85409,'elected mp could please explain still promoting ideas eu already rejected months go nothing appears moving onward like blind leading blind brexitshambles brexitmeansbrexit',GRP
14118,'effected radiation killed hope mentions lady gaga witch since known immortal witch supreme',IND
63792,'election season trump dick magnificent dick tremendous leftists prove russian puppet trump whips dick fit senility conservatives vote trump victory',IND
82293,'interesting demoncraps even inventive enough create cartoons originally put republicans liberals koolaide drinkers always liberals also scum earth prove daily lies',GRP
61533,'ajsjjsjdkkdjdk want much literally tell die obey',GRP
40857,'dead necrophiliac well good know must suck chess never mind dimensional chess even think one move ahead let alone many change twitter handle dumbaf even ish',IND
23228,'get testy decide paid shill lot end hanging around qanon get used',GRP
78473,'trump sick man toxic mean spirited',IND
30890,'va voters know right side gun issue gun control gun rights answer may help determine whether nra financed rep comstock wins reelection',GRP
92935,'oshaeterry thuglife criminal behaved ordinary disposable criminal maga maga magarallyrules texaspolice',IND
86626,'full bunk',IND
18702,'hell boycott mcenroe much',IND
78567,'im going hardcore bitch',IND
80107,'used signifing monkey heart played wife like hell',IND
84294,'think one mad didnt like called trying make bully',IND
53037,'disgusting rangers fan disgusting support breaking union proudtobebritish',IND
10605,'hopefully voters realise could ended shitshow well midterms',GRP
93280,'think missed replies im conference call anti jihadi muslim vets know would disagree gun control seems odd',IND
97831,'look racist white liberals freaking said tom arnold white privileged',GRP
82366,'hubby rushed shakes fist flick pic thru evening feed em way still boss',IND
70315,'omg really frankoz liberals ruins everything defundpbs',GRP
83457,'wow never thought see left actually admitting want shut free speech unless least admitting facist create facist groups antifa kkk',GRP
14877,'rip lmao knows trying hard expose shits since never relate anyway',IND
33095,awful,OTH
50390,'know anything kkk although believe democrats fund like always think dems main terror group days antifa',GRP
38444,'absolutely useless everyone knows except media',IND
77647,'anyone care dirtbag says',IND
30426,'snowballs chance hell dimwit dem start taking losing like man err like uhm whatever identify today maga tired winning see november redwaverising stop scotuskavenaugh',IND
38806,'hopefully obesity catches',IND
36795,'thank fortitude perseverance please give mcconnell kick butt us conservatives',IND
21223,'yessssshhhhh else call shitgull ryme',IND
25469,'one kooky liberals',IND
74815,'like get fired espn',IND
67895,'students traumatised live shooter drills distracted fear killed school already best send kid one schools might get action gun control hypocrite',IND
99912,'poor sad liberals hope',GRP
69106,'got common sense followers',GRP
47490,'cbs sez ceo leslie moonves ass several allegations chasing ass coo joseph iannello interim ceo somebody accuses thing shit never ends ooops',IND
77519,'even devil make every single one priests rape children pope refuse condemn remove leadership rapist brought',OTH
20232,'tweet lol needa get twitter shit',IND
32990,'ur screwed trump owns scotus exact wrath upon enemies midterms',IND
64626,'haul fat ass harms way druggie',IND
39729,'anyone say write anything suppose tomorrow says prophet human race needs follow tell see someone useless moron stop giving attention brother nobody',IND
93056,delirious,IND
32139,'rezz dumb bitch get rude awakening bnf mexico lol',IND
59690,'alert candace owens attacked antifa',IND
23311,'another dumbass democrat one thing say president lazy another bullshit story usual',GRP
33600,'robyn posts selfie world stops moment appreciate',IND
79122,'democrats desperate ppl threatening sen collins ca anything delay halt confirmation election line desperate ppl amp gop quite aware going',GRP
58576,'moves forward damn facts long keep narrative dangerous line sliding scale line bunch liberal idiots use vilify conservatives justify actions liberals',GRP
70525,'poor baby entire network trusted people still watching cnn brainwashed liberals demonrats',GRP
69004,'clearly agitated defensive stance shit',IND
28518,'gonna get bitten',IND
77529,'woodword book slander nothing clown tool',IND
25305,'appears paired woo hoo must think way brothel',IND
70652,'mentally unstable',IND
60071,'character clinton cartoon maybe',IND
12602,'like mincing around understand denying porn',IND
35933,'fema contacted senator told tv hit take liar set would put big girl panties tell truth',IND
66631,'thought antifa actually fascists shows rethuglicans actual fascists room',GRP
70446,'absurd left fielding violent feminists communists form antifa attack peaceful transition power two years wonder ever occur bad guys doubt moral fortitude',GRP
26783,'anyone surprised closernation maga qanon',OTH
49939,'wisconsin bubbler duck duck goose',IND
23818,'good liberals allow rapist continue serving federal district court victim continues suffer said said',IND
35823,'pretending something phony lies change',IND
36639,'mocked sjws kkk extremely clever satire fact sense humor stupid get fault none means get denigrate lie motives native american woman bigoted misogynist',IND
35959,'saying turkey chocker',IND
14239,'delusional liberals twisted hate even acknowledge u airforce',OTH
94756,'damn would able eat pussy',IND
90701,'exactly willy anyone half brain would consider conservative guy literally poster child liberals',IND
20770,'queen rap bitches knot relate',IND
77620,'pathological liar going give judge lecture credibility judge admit something stupid ones liberals shame ignorance elected representatives',IND
21734,bitch,IND
57625,'jamie oliver fucks meal deals tesco kill cunt',IND
40567,'care murdered care whether weed home like whole lot americans care said pairs socks victim trying smear victim despicable',IND
32074,'wash mouth soap saying utmost respect admiration cops dirt bags would break home gun control means steady hand empty one go talk antifa buddies drain',IND
17811,'russian spy received much money putin',IND
39492,'well liberal explains knows shooter may liberal far knows liberals hateful violent people must defeated',GRP
40412,'news orgs giving faith goldy time day simply wrong may experience two useless fools cares one fool',GRP
71929,'gave beto well trump called ted wife ugly still licking boots help reelection',IND
35524,'threat dangerousdemocrats maga',OTH
66579,'liberals cannot imagine circumstance forced defend family violence imagine eventuality beyond realm possibility foolishly believe police arrive quickly enough save',OTH
58523,'let borrow yo shit first',IND
66864,'wow lie n bitch',IND
24298,'stfu bitch lol u salty tryna get twitter famous ya know',IND
43335,'correct applauded criticizing inept corrupt president denounced',GRP
46678,'turn dull tuesday night super sexy one hot',IND
47804,despicable,IND
49896,'without question professor ford troubled polite half women world probably groped one time hold years obviously political ploy deter scotus confirmation maga',IND
52906,'evil delusional eats high quality paint chips',IND
12295,'shut wanker',IND
20235,'total mental breakdown elected',IND
90247,'saddest existence ever privy reading sucks man',IND
89795,'angela hook younger guy someone wipe butt',IND
86958,'good surely show us croocked',IND
89600,'exactly hat true feckers detest',GRP
27161,'sam singing didnt tell stop singing thanked unbelievable hell talking bad enough talking one houseguest keep talking wonder family think going nuts',IND
65915,'think could called turncoat talking sides fucking mouth lindsey graham longer trusted',IND
82618,'oh boo sound ignorant words top america top stop resisting try help make nation best everyone liberals wake walk away',GRP
90997,sucks,IND
63005,'fuckkk know seen bitch slapper lmao',IND
16105,'lefty pope also worthy rep true christian roman catholics failed flock',IND
89453,'honestly ridiculous grocery shopping need like',IND
22946,'little known fact balaam raced donkeys gambled races one day fastest ass winning jerusalem sweepstakes right finish ass lost control running samaritan two africans local antifa saw whole thing blamed fastest ass',GRP
88594,'since sunday night sloth',IND
53551,'bitch shut building self esteem',IND
46987,'usa uk probably europe australia level intelligence weez stoopid maga mega mbga mcga conservatives patriots celebrities',GRP
97760,'republicans going learn democrats hate conservatives vote thursday',OTH
81704,'amazon bitch antifa',IND
57305,'lie certainly throwing gun control amp accountability window illegal involved hollering seeing shit hearing voices',IND
87737,'one proof dnc hates cosnstitution exactly pres washington warned us farwell address dnc hates constitution stands way totalitarain agenda maybe push socialism gun control',GRP
50771,beast,IND
60966,'committed many crimes care liar say belong prison maga',IND
45019,'hahahaha omg people thought would way forever idiots',GRP
84724,'fool hill',IND
98631,'course liberals reject truth accept falsehoods believe kanaugh believe ellison',GRP
16691,'nose distracts news',IND
56181,'thank ms desanctis comforted conservatives letting ambition blind conscience sexual assault harassment plague society centuries make conservative traditionalist cause',GRP
96139,'trippin stop jumping conclusions',IND
71104,'sicko thinks others scheme lie like lot liberals remember rham emanuel famous quote never let serious crisis go waste',IND
11020,'battering rams used liberals sex amp racism sinister amp desperate beneathhumanity',OTH
49326,'apparently pos know viacom bought bet went black ownership white ownership',IND
32558,'desperation abuse power cause losing mind',OTH
43832,'gonna bitch write one',IND
86646,'bet prick second hand pincushion maga',IND
12223,'ancient homies couldnt cock cocks fighting literally illegal athens fjshdhjs',GRP
49452,'fucking delusional',IND
56645,'great liberals ignore pain victims democrats really sick',IND
92803,'losing ab literally whole offense',IND
30471,'noticed broke away soon senate started talking great growth rate salary increases employees station crooked also negative conservatives praise liberals drainthedeepstate crookedmedia',GRP
93778,'absolute dick',IND
65422,'well guess totally fine attack character mistake mean right american victim gun violence call stricter gun control laws anyway',IND
20413,'liberals act emotion understanding law go around condemning every agree completely fucked rational nobody believed women years let believe women oh screw legal system men pigs guilty smh',GRP
24354,'obama must copying democrat thought please',GRP
74402,'surprise bit like falsely call conservatives fascists justify physically attacking trump nazi kill matter time suggest',IND
19061,'lol idea nazis socialist complete inability grasp reality mind blowing antifa shit calling civil war defend slavery confederacy considered lincoln fascist hmmmm',GRP
86448,'lol exciting times god worst',OTH
92949,'bad life sucks u schiff brains ur going along wi ur criminal friends red line crossed lies u tell u never b anything belly snake maga trump schiff brains',IND
20729,'let focus kavanaugh bringing cases make argument hypocrisy irrelevant like saying let investigate bank robbery liberals robbed banks try focus',GRP
29695,'prouduncle finest cheerleader te amo stinky butt',IND
14179,'shit right also showed polish friends quite triggered',OTH
51118,'oh higher unemployment witch hunts lynch mobs antifa communist parades shit let hollywood decide feel',OTH
59703,'everything issue muslims go live another country like iran',GRP
73118,'admit anything read tweet please english rd language rather good antifa nazis name self messiah would still thugs fighting freedom free speach btw free speach hate speach man',GRP
26447,'holder held contempt congress prison fast furious murder',IND
66845,'expose demons violating constitution violence amp threats run govt instead winning polls name domestic terrorists amp jail',GRP
29880,'gun control fun statue stupid child desk going change peoples case stupid give firearms free speech rights one government fuck',IND
85882,'republicans platform take away healthcare harm environment take away children take away women rights believe rule law voter suppression gerrymandering take away social security limits gun control explodes budget voteblue',OTH
81239,'maybe talk double standards liberals conservatives somebody always victim',GRP
66048,'qanon maga think nothing happening',IND
98294,'rosenstein attorneys helped vet kavanaugh sexual abuse charges go back highschool days proven amp named witness denies pathetic confirmkavanaugh pjnet ccot maga kag trump nomoreprogressiveliberals',GRP
30337,'fuck u',IND
67391,'niggaz buying pussy bitches trying buy love',GRP
48534,'also prohibited possessor thanks obama every soldier ptsd crazy administration get life insurance either still support nra work gun rights hoping trump fix wrongs labeling veterans means back door gun control',IND
22086,'suffer fools seen enough shit last nine lives',OTH
86879,'gop conservatives evangelicals traditionalists catholics hypocrites',OTH
80462,'lmao suck nfl',OTH
55281,'well cut pages replace saying everyone needs chlorine c mon chicken',IND
93035,'believe woman person would volunteer shit show experience true stand solidarity christine blasey ford',IND
66585,'communist democrat socialists bad humans',GRP
38143,'hmmm piss portion population actually supported football shocked numbers took nose dive shocking',IND
31945,'gets period cause',IND
66398,'thus far people getting shot kicked places conservatives maga walkaway confirmkavanaugh',GRP
35786,'yeah take gun control policy advice jean company beyond trumps die hard almost enough snowflakes claim dislike hard tell part',GRP
13641,'yesonkavanaugh yes right thing yes conservatives power yes democrats miserable humans yes sick tired tantrums democrats yes freaking lost election please add reasons',GRP
92257,'manitoba ndp leader wab kinew carbontax proud allow ndp come right insane trudeau liberals winnipeg canada mbpoli',OTH
26317,'hahahahahahahaha may need change strategy acting like spoiled child throwing tantrum showing world sore loser national television great way improve anyone viewed',IND
70481,'oh ok reversed important issue mental health got rid mental health conditions gun control great job guy liar proven amp worship away right',IND
61942,'quick way get killed thanks antifa',IND
27631,'wapo idiot comment disgrace journalism sad',IND
40674,sucks,IND
78494,'sides promised wall since ever anyone believe anything say promised since',IND
21564,'fair positive liberals blobs cells',GRP
87824,'disgusting hypocrite',IND
32310,'well would allow still protest stop speaker group really hitler early time nazi party group known ss would beat politicians people agree sounds familiar smells like antifa',GRP
90618,'nope mm way maybe time ask sky gone wrong foster cnn book first kp tweeted book liberals trump americans mm british known worst',GRP
94345,'saying relate gun control police departments prosecute family time limit access weapons police department reluctant acknowledge wrong doings correct dont deserve access weapons',OTH
77180,'want gun control let corporations rip us americans stand cops assassinating unarmed black americans cops enemies americans want kill blacks america thanks',GRP
63408,'bitch complaining corporate lobby lmaooo',IND
99383,'saw shit today made want politely ask could stylist early bangle bracelets unnecessary accessories like responsible words',IND
35359,'yyyy fuck bitch decided gone steepppp',IND
32776,'liberals grasp unproven straws notplastic',GRP
70434,'funny human rights pro abortion settles lies pacified deceives playboy',IND
51128,'clearly racist anti senior citizen allow conservatives never take seriously start fair',OTH
84894,'kavanaugh confirmed two sexual deviants sitting supreme court conservatives nominated republicans democrats put women scotus republicans put perverted men lifetime stopkavanaugh stoptrump savescotus',GRP
45521,'liberals shame outcome justifies mean',GRP
87501,'coming guy worries straws cleaning failed shitty policies knows best lol',IND
71984,'popular side equal winning side facts private schools much better job educating students public schools public school teachers get unfair perks deserve unfair private school teachers',GRP
99643,'fucking sad',OTH
63350,'suppose think way liberals attacked sarah palin courageous also another hypocrite',IND
97846,'great american patriots dregs society warped delusional perspective joe blow biden disgrace america',IND
74245,'joke another dirty tricks democrat george soros payroll democrat party knows shame maga',GRP
16278,'actual fuck ill report fucked',IND
16251,'leak shit anyways lol',IND
64189,'st world country bullshit like bullshit problems like fuck gun industry fuck dipshits enabling preventing sensible gun control',GRP
61788,'yes right lefties neo liberals trouble papers proper journalistic ethics funny magyar nemzet n pszabads g highest circulation also funny communistic past',GRP
95262,'great gun control takes concentration steady hand way go girl',IND
89043,'would never guess employee plays covet fashion game ipad free time strange phobia dogs amazingly weird jump foot',IND
13324,'go back canada freak',IND
25808,'yep bc agreeing forcing adult memes choices individuals developed enough comprehend means homophobic',GRP
80698,'fit team agholor stay slot successful jmatt outside threat',IND
32103,'nike lost billion kaepernick named face bullshit',OTH
52798,'google go hell',OTH
32717,'craziest mf sadly far worse examples good christians',IND
92319,'working texas paid soros cartel fond cruz beto dangerous person another dnc sheeple',IND
59657,'want kiss ass',IND
83274,'beto also wants open borders illegals come go please also gun control espically semiautomatic weapons betonotfortexas',GRP
42234,'absolutely point debating liberal party swung far left nothing hate rationale fleeted side trump could create world peace utopian society liberals would still resist reason hatred',GRP
36226,'f hope since smarter th grader maybe',IND
49622,'agree trump surprised see many liberals talk cute sneaking candy war criminal funeral',IND
54050,'joebiden calls trump supporters dregs society biden organized coup ukraine son steals b ukrainian people leave country search jobs maga potus zog',IND
34017,'destroying excuse beat time bullshitting also love',IND
83754,'lies rumors spread liberals known pattern hell',GRP
31196,'shes old shes pushing gun control since lincoln assassination',IND
85220,'grew listening k shit breaks heart rip',OTH
15817,'delusional idiot traitor',IND
48118,'unwanted mother left flushes toilet goes antifa rally celebrate',GRP
84077,'ur head bout big shit',IND
84770,'complete utter waste time liberals',GRP
48370,'blame trump weather corruption existed decades pr ass typical democratic',IND
48479,'nigga snitched added spice top snitching',IND
22130,'far right bastards literally everywhere luckily far left extremists like antifa jeremy corbyn supporters act counter balance',GRP
40746,'ben terrible person probably raped people vial human book nothing field play like personally',IND
33232,'idiot fuck get people',IND
33670,'start tweeting pussy ass shit',IND
46033,'weak really beat ass',IND
40324,'bird ass',IND
54691,'would name dogs breed fucking clue',IND
62953,'many arrests taken place socialist media covering course coming arrests make socialists heads explode wwg wga maga drain swamp build wall',GRP
59895,'least brennan smart enough recognize trump lion smart enough know hurt trump hurting trump idiot fantasies',IND
13692,'holy shit people say nebraska fan please take dead program somewhere else keep vcr around watch highlights',OTH
23560,'poor godless liberals',IND
45485,'man tell body count refused woman fuck',IND
95617,'dumbass really thinking hell pregnant last years',GRP
93402,'realize fool making weird obsession susansarandon maybe research b spouting nonsense',IND
97658,'liberals today r different classical liberals liberals today gone far left r marxists burying head sand think neo amp classical libs trump authoritarian people say want amp killed',IND
48474,'inciting violence towards trump supporters lists targeted antifa',GRP
35384,'nobody bitter women know worth spending life upgrading somebody son actually living becoming best versions go look cute maid outfit like always',GRP
11746,'poorly worded talking actual shooting means aftermath gun control aspect',GRP
90460,'witness protection wish cow mobile phone could call cows share escape govegan',IND
46544,'need ladies spread pussy cam',IND
57446,'wow really think works going tell wife going hell lol',IND
30412,'still batting',OTH
94913,'antifa democrats gonna pay yuge november final nail coffin fruitcake trust funded fakenews journalism',IND
88710,'good bitch hood missed crazy thing saying em smoke house used lit everyday',IND
28150,'dos nra california lot lots worthless gun control laws already gun control work crazy people obey law',IND
90308,'bitch posted kdksksks hope get better soon',IND
56689,'know never seen watch benfica games takes shit new level',IND
40471,'likely forgot mental capacity dropping everyday woman fit serve longer like said trump remember part problems solution maga',IND
51613,'liberals trumps fault',GRP
92684,'democrat love great country standby watch liberal arm democratic party tries destroy everything love country walkaway actually runaway libshateamerica commiessuck maga kag everyone',IND
28679,'shameful nra spending million get kavanaugh installed gun control pot tea',IND
41642,'good democracy overrated read hans hermann hoppe democracy god failed',OTH
52687,'see gun control need leftist liberal control guns kill people idiotic immoral leftists liberalismisamentaldisorder demsaredangerous walkaway',OTH
49383,'sis mandys nose havin ass grim adventures billy mandy smell shit wheeew',IND
89284,'living nickname tonight fucking nightmare ufc',OTH
12987,'tells us unserious attention seeker iphone',IND
48421,'bring great point morons really look life like movies gun control debate time seriously think shootout bad guy never hurt bystanders want arm teachers idiots',GRP
35308,'hahahahahaha said idiot handed billions iranians likely worst deal history us foreign policy poster child someone qualified job',IND
55842,'people worst kind criminal playing emotions base fueling hatred country insane rhetoric playing constant mind games cause anger helping cause liberals catching',OTH
84775,'let come dc testify safely surrounded dnc street army antifa even let wear cute black masks way americans see diversity democrat party protect good',GRP
67852,'okay violent liberal antifa kkk hoods beating strangers know nothing',IND
71717,'liberals democrats psychopaths yep something wrong',GRP
59633,'ask liberals seemingly forgotten war criminal',IND
45078,'believe replaced american flag antifa flag',OTH
94425,'believe erick erickson exists believe democrat pr firm creating republican persona say idiotic things discredit conservatives',IND
86725,'know really care rich dude probably hates president country',IND
26435,'teach grown sons theres winners losers see serena temper tantrums democrat lol',IND
24282,'shooting usa common one talking gun control',OTH
36206,'please stop making easy right wing conservatards mock us left nothelping',IND
10057,'team even know ass',IND
70336,'suggest using handcuffs remove',IND
11650,'obama wall keep terrorists away obama gun control prevent killings criminals terrorists walkaway',GRP
54987,'republicans conservatives disgusting people',OTH
30811,'antifa bs average americans see news repulsed antics',GRP
62929,'talking idiot liberals mental disorder book liberal mind psychological causes political madness dr rossiter exposes ideology motivating liberals actually mental disorder read',IND
20490,'gt comments negative slamming chris hayes promoting vote suppression via michael love rapist amp putin puppet assange moore amp latest kill dems movie town hall women repro rights amp gun control eve kavanaugh vote instead',IND
23902,'first time expressed dismissive attitude toward public outcry votes people factor vote ass office years think toast',IND
95606,'oh fuck tmi queen things controls conversation subtly god help comment habits decisions swear god',IND
53591,'liberals got crap everything',GRP
69593,'dint pay attention yet say anything interest meme jerk',IND
65922,'liberals old playbook old yawn',GRP
91693,'lie congress us lie maga',IND
88954,'never nigga',OTH
51153,'glad know anyone like miscreant pitiful bunch',GRP
53994,'left party relativizing playing communist crimes',GRP
67261,'lol trump fine people sides antifa punches nazis want punched nazis oh whaooaaaaa crazy otoh nazis literally murdering folks trying bomb shit soooo yeah right wing dupe sorry case',IND
21146,'embraced antifa career killer',IND
94737,'thats saying read tweet never said sir putting words mouth liberals really assholes cant civil discussion',GRP
16774,'experience problem like think suffering anti pernickety bastard disorder',IND
37906,'jerry lewis ripoff needs go away already guy good acting like fool fool',IND
43540,'fuckoff knew im scared',IND
18626,'needs removed position children abused covering',IND
25418,'nope teaching give shit liberals ca think',GRP
63476,'implying agent devil fully agree',GRP
38235,'sexy perverse woman',IND
55806,'mocking self professed populists claim speak people stand norms rights labelled latte drinking elitists',GRP
87342,'shocked gun addict also alleged pervert nra molonlabe gunsense momsdemand maga wednesdaywisdom',IND
82687,'awaken many women country asinine top stupidity liberals today',GRP
24454,'think liked better conservatives pretended rape bad claiming rape gets better time',GRP
25338,'blowing dirt misery millions',IND
80515,'gun control guns liberal idiot',IND
77105,'fake national emergency created conservatives nwo bullshit',GRP
10719,'need marijuana lobby bribe gop like big pharma otherwise screwed good america means nothing see gun control',IND
83844,'one open think sitting waiting get hit lol pick called back kyle said one receiver ran wrong route route need pick matt open ers need get head asses',GRP
25944,'denouncing democrats amp antifa thugs done amp done',GRP
64322,'chicago stop gun violence seems democrats claim stop show us one worst gun violence cities controlled democrats nations see works make model successful gun control policies',OTH
15618,'american liberals eat young maintain power everyone racist rapist fascist keep everyone addicted social programs teach fend keep addicted government let think dems keep black n hispanics chained',GRP
31240,'judge roy moore masterbate story maga',IND
83966,'messi goalkeeping goat',IND
47741,'well people dregs society president supporters least try stage coup etat qanons greatawakeningworldwide joebiden maga',IND
29634,'justsayin majority thinking fakeoutrage amp lies lunaticleft never seen many sore losers throwing temper tantrums almost years embarrassing maga',GRP
