@relation 'training-set-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L1-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute id numeric
@attribute cleaned_tweets string
@attribute subtask_b {UNT,TIN}

@data
68629,'let leftist democrats riot streets antifa counterparts',TIN
77319,'antifa giving death threats professor ford threatening violence candidate loses spanky impeached',TIN
49504,'law changed make allegation days guilty proven innocent liberals mentally ill',TIN
31229,'game sucks donkey balls',TIN
88546,'absolutely nail coffin hilliary',TIN
32897,dumbass,TIN
62072,'levistrauss wanting gun control many us wonder heck want freedoms taken away selective freedoms',TIN
95444,'point time think pres trump gives sh neither lol',TIN
62481,'donnie jr family owe country apology taking criminal activities white house lining pockets father unfit making mockery republic shame family justice prevail',TIN
39021,'oh carmen fricking cute',TIN
68840,'chelsea crazy mother',TIN
32916,'brainless dems wants us believe majority liberals like leaders corrupts obama crookedhillary real bad losers maga trump',TIN
18547,'california gun control direct result white people scared black panthers using right bear arms nra problem gun control',TIN
82607,'yet millions permit holding people carried legally concealed firearms day hurt anyone else yet want stronger gun control idiots wonderful media hype incidents fits agenda',TIN
82339,'yes hurt selves gun control freaks',TIN
34510,'bullshit regulations good keeps conservatives striping land abyss',TIN
53501,'owner culo',TIN
69928,'scarred life lol maga',TIN
31853,fucking,TIN
13872,'confirm man left wing activist liar story changes hard evidence christineblaseyford innocent proven guilty confirmkavanaugh maga weakrinos republicans',TIN
28985,'assuming going get answer brainless liberal stooge ocasio cortez policy plan wakeupamerica america future vote republican surrender america dem morons maga',TIN
74004,'leftists showing yet vile',TIN
70838,'drunk crazy man',TIN
15991,'money made u smarter',TIN
38837,'yeah need made bullshit protestors antifa lol time epic beatdown',UNT
16885,'way move haiti liberals seem make shit holes large cities go somewhere already shit hole work',TIN
19514,'pussy grabbing one wearing gloves handling food maga',TIN
34317,'antifa beat facsists try get change mind know lost cause try change fascist mind scare hiding demoralize stop spread hateful ideology forcing views others',TIN
36289,'firemorningjoe cut cloth conservatives misogyny bigotry always display responsible trump',TIN
80570,'truly got idiotic thing ever seen',UNT
86477,'work want control population australian gun control effect homicides',TIN
44015,'liberals ruin everything',TIN
11411,'happens let liberal get hold gun would good place start gun control ban liberals getting guns',TIN
10133,'look happy maga',TIN
29497,'yet fat',TIN
97300,'joke gem alright racist phony right along racist phony thinks follow second account block speak truth could care less follower like big party care discriminate',TIN
14808,'may forgotten moment eu citizens rights afforded us eu citizens believe shit goes head',TIN
33322,'looked work history listed board leading age services aust lasa comes medicare local alliance ever hell',UNT
87300,'cause bitches playing god aint give gift nothing',TIN
80497,'coming man threatened try kick turmps ass take set ball',TIN
97277,'getting scared ugly man',TIN
95200,bitch,UNT
77769,'amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests',TIN
62107,'yea bitch right getting smacked',UNT
33096,'hahaha big thighs going make',TIN
81470,'maga christineford trump tcot ccot americafirst patriots brettkavanaugh say bill clinton whitewater imperative make pattern revolting behavior clear piece painful piece indeed',TIN
20322,'maga people low iq gdp growth means literally nothing way translate higher income white familes individuals billions goes companies government jobs create labour pays less living wage lmao',TIN
60130,'bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious',TIN
54559,'bitch built like could beat ass wants',TIN
14285,'pathetic man',TIN
42133,'must talking hateful conservatives',TIN
18834,'thats correct maga',TIN
38043,'leftist wrong liberal colleges ppl students come unmask corrupt woman determined destroy good judge wants liberals courts',TIN
76709,'great mark great one levin candace great owens together team unbeatable sent liberals frenzy whole block liberal voters heads explode sadly alyssa milano wet pants great team',TIN
22728,'stratadata ai data hairball tdavis touring application cognitive machinelearning techniques speed governance data',TIN
11640,'proposing scare tactics really meant said trump easily pull good maga republicans easily steal enough votes gop dem independents bring fresh breath rotten politics think',TIN
47009,'liberal would support liberal spent million get liberals elected office libfail',TIN
97936,'weirdly vicious bitter extrapolate everyone access decent healthcare liberals think criminals free reveals pretty brutalist impenetrable mind',TIN
12531,'fuck game watching',UNT
72024,'liberals trashy',TIN
98547,'yes saw say tapper kept basket kept coming back stupid answers finally gave think big fan policies stupid please',TIN
98382,'go anything fucked head',TIN
71577,'need know empty inside',TIN
17391,'liberals mentally unstable',TIN
34443,'authorized search warrant mr jean home racist drug test premediated murder slandered victim',TIN
22185,'heard making waves',TIN
77089,'thursdaythoughts fuck liberals forever',TIN
79972,'proven gun control laws intended disarm law abiding citizens subvert criminal care gun laws',TIN
30085,'mxm nigger thinks give fuck',TIN
95773,'fake vote wants sympathy',TIN
51053,'kids different women american jobless men nigerian men bomb',TIN
14131,'russian agent disgrace hey old creep going die prison trump sold america russians time time years crimes scumbag',TIN
33709,'insanely ridiculous bullshit',UNT
53995,'surprised pigs worked neonazis unmask antifa protestors local coverage shit journos like cover rely investigative coverage',TIN
82171,'americans lazy vote non voters skew liberal many liberals vote throw vote away rd party losers next question',TIN
50936,'sure call gated community private security firm bull connors though funny liberals love privatization police',TIN
97580,'wonder many children molested',TIN
54991,'oh england views gun control stopped mattering',TIN
55051,'antifa party amp sudden expect us believe care anyone besides nope',TIN
23159,ouch,UNT
58548,'wonder apologized diamond silk calling minstrel show fired making faces',TIN
41277,'awesome kavanaugh shake gun control dads hand sorry kid killed gun future judges fault happened omg white people cities silly',TIN
51592,'john podesta spirit cooking pedo photo valerie jarrett rather compromising situation maga qanon drainthedeepstate draintheswamp',TIN
56068,'love way pisses liberals',TIN
88585,'auto correct gggrrr crazy witch',TIN
14234,'turned speech sounded like liberals becoming another nasty party personal attacks various individuals',TIN
97329,'another negative democrat refuses disappear',TIN
85409,'elected mp could please explain still promoting ideas eu already rejected months go nothing appears moving onward like blind leading blind brexitshambles brexitmeansbrexit',TIN
14118,'effected radiation killed hope mentions lady gaga witch since known immortal witch supreme',TIN
63792,'election season trump dick magnificent dick tremendous leftists prove russian puppet trump whips dick fit senility conservatives vote trump victory',TIN
82293,'interesting demoncraps even inventive enough create cartoons originally put republicans liberals koolaide drinkers always liberals also scum earth prove daily lies',TIN
61533,'ajsjjsjdkkdjdk want much literally tell die obey',TIN
40857,'dead necrophiliac well good know must suck chess never mind dimensional chess even think one move ahead let alone many change twitter handle dumbaf even ish',TIN
23228,'get testy decide paid shill lot end hanging around qanon get used',TIN
78473,'trump sick man toxic mean spirited',TIN
30890,'va voters know right side gun issue gun control gun rights answer may help determine whether nra financed rep comstock wins reelection',TIN
92935,'oshaeterry thuglife criminal behaved ordinary disposable criminal maga maga magarallyrules texaspolice',TIN
86626,'full bunk',TIN
18702,'hell boycott mcenroe much',TIN
27045,'anti antifa balls',UNT
78567,'im going hardcore bitch',TIN
80107,'used signifing monkey heart played wife like hell',TIN
84294,'think one mad didnt like called trying make bully',TIN
53037,'disgusting rangers fan disgusting support breaking union proudtobebritish',TIN
10605,'hopefully voters realise could ended shitshow well midterms',TIN
93419,'charts overall fuck cardi got ways go catch niki',UNT
93280,'think missed replies im conference call anti jihadi muslim vets know would disagree gun control seems odd',TIN
97831,'look racist white liberals freaking said tom arnold white privileged',TIN
82366,'hubby rushed shakes fist flick pic thru evening feed em way still boss',TIN
70315,'omg really frankoz liberals ruins everything defundpbs',TIN
83457,'wow never thought see left actually admitting want shut free speech unless least admitting facist create facist groups antifa kkk',TIN
14877,'rip lmao knows trying hard expose shits since never relate anyway',TIN
63762,bullshit,UNT
78739,'feel pretty fucked cuz started fine',UNT
33095,awful,TIN
50390,'know anything kkk although believe democrats fund like always think dems main terror group days antifa',TIN
38444,'absolutely useless everyone knows except media',TIN
77647,'anyone care dirtbag says',TIN
30426,'snowballs chance hell dimwit dem start taking losing like man err like uhm whatever identify today maga tired winning see november redwaverising stop scotuskavenaugh',TIN
38806,'hopefully obesity catches',TIN
66497,'stoned wheat crackers hell put stoned wheat crackers',UNT
95987,'fordnation onpoli conservatives conservative onpc mean great power comes great responsibility invoking art overriding judicial processes overriding democracy',UNT
36795,'thank fortitude perseverance please give mcconnell kick butt us conservatives',TIN
21223,'yessssshhhhh else call shitgull ryme',TIN
25469,'one kooky liberals',TIN
74815,'like get fired espn',TIN
67895,'students traumatised live shooter drills distracted fear killed school already best send kid one schools might get action gun control hypocrite',TIN
99912,'poor sad liberals hope',TIN
69106,'got common sense followers',TIN
47490,'cbs sez ceo leslie moonves ass several allegations chasing ass coo joseph iannello interim ceo somebody accuses thing shit never ends ooops',TIN
77519,'even devil make every single one priests rape children pope refuse condemn remove leadership rapist brought',TIN
20232,'tweet lol needa get twitter shit',TIN
32990,'ur screwed trump owns scotus exact wrath upon enemies midterms',TIN
64626,'haul fat ass harms way druggie',TIN
39729,'anyone say write anything suppose tomorrow says prophet human race needs follow tell see someone useless moron stop giving attention brother nobody',TIN
46114,'cool blind idiot god concept already real thing religion thousands years old peopl ehave make fucking cthulhu reference retard cred',UNT
93056,delirious,TIN
32139,'rezz dumb bitch get rude awakening bnf mexico lol',TIN
59690,'alert candace owens attacked antifa',TIN
23311,'another dumbass democrat one thing say president lazy another bullshit story usual',TIN
33600,'robyn posts selfie world stops moment appreciate',TIN
79122,'democrats desperate ppl threatening sen collins ca anything delay halt confirmation election line desperate ppl amp gop quite aware going',TIN
58576,'moves forward damn facts long keep narrative dangerous line sliding scale line bunch liberal idiots use vilify conservatives justify actions liberals',TIN
70525,'poor baby entire network trusted people still watching cnn brainwashed liberals demonrats',TIN
69004,'clearly agitated defensive stance shit',TIN
28518,'gonna get bitten',TIN
77529,'woodword book slander nothing clown tool',TIN
42005,'many country must address sensible gun control enough vote blue get garbage cleaned streets',UNT
25305,'appears paired woo hoo must think way brothel',TIN
70652,'mentally unstable',TIN
60071,'character clinton cartoon maybe',TIN
12602,'like mincing around understand denying porn',TIN
35933,'fema contacted senator told tv hit take liar set would put big girl panties tell truth',TIN
66631,'thought antifa actually fascists shows rethuglicans actual fascists room',TIN
70446,'absurd left fielding violent feminists communists form antifa attack peaceful transition power two years wonder ever occur bad guys doubt moral fortitude',TIN
26783,'anyone surprised closernation maga qanon',TIN
49939,'wisconsin bubbler duck duck goose',TIN
23818,'good liberals allow rapist continue serving federal district court victim continues suffer said said',TIN
35823,'pretending something phony lies change',TIN
36639,'mocked sjws kkk extremely clever satire fact sense humor stupid get fault none means get denigrate lie motives native american woman bigoted misogynist',TIN
35959,'saying turkey chocker',TIN
14239,'delusional liberals twisted hate even acknowledge u airforce',TIN
34178,'better shit better anything',UNT
94756,'damn would able eat pussy',TIN
90701,'exactly willy anyone half brain would consider conservative guy literally poster child liberals',TIN
20770,'queen rap bitches knot relate',TIN
66373,'would worse licking ass',UNT
77620,'pathological liar going give judge lecture credibility judge admit something stupid ones liberals shame ignorance elected representatives',TIN
83576,'stupid problem conservatives hate studies smart people smart people suck show data data schmata facts fakenews near one turn somebody nitwit cdnpoli',UNT
21734,bitch,TIN
57625,'jamie oliver fucks meal deals tesco kill cunt',TIN
40567,'care murdered care whether weed home like whole lot americans care said pairs socks victim trying smear victim despicable',TIN
32074,'wash mouth soap saying utmost respect admiration cops dirt bags would break home gun control means steady hand empty one go talk antifa buddies drain',TIN
17811,'russian spy received much money putin',TIN
39492,'well liberal explains knows shooter may liberal far knows liberals hateful violent people must defeated',TIN
40412,'news orgs giving faith goldy time day simply wrong may experience two useless fools cares one fool',TIN
71929,'gave beto well trump called ted wife ugly still licking boots help reelection',TIN
35524,'threat dangerousdemocrats maga',TIN
66579,'liberals cannot imagine circumstance forced defend family violence imagine eventuality beyond realm possibility foolishly believe police arrive quickly enough save',TIN
58523,'let borrow yo shit first',TIN
66864,'wow lie n bitch',TIN
24298,'stfu bitch lol u salty tryna get twitter famous ya know',TIN
43335,'correct applauded criticizing inept corrupt president denounced',TIN
46678,'turn dull tuesday night super sexy one hot',TIN
47804,despicable,TIN
49896,'without question professor ford troubled polite half women world probably groped one time hold years obviously political ploy deter scotus confirmation maga',TIN
52906,'evil delusional eats high quality paint chips',TIN
12295,'shut wanker',TIN
36699,fuck,UNT
20235,'total mental breakdown elected',TIN
90247,'saddest existence ever privy reading sucks man',TIN
89795,'angela hook younger guy someone wipe butt',TIN
86958,'good surely show us croocked',TIN
89600,'exactly hat true feckers detest',TIN
67770,'still waiting mine fat',UNT
27161,'sam singing didnt tell stop singing thanked unbelievable hell talking bad enough talking one houseguest keep talking wonder family think going nuts',TIN
65915,'think could called turncoat talking sides fucking mouth lindsey graham longer trusted',TIN
82618,'oh boo sound ignorant words top america top stop resisting try help make nation best everyone liberals wake walk away',TIN
90997,sucks,TIN
63005,'fuckkk know seen bitch slapper lmao',TIN
16105,'lefty pope also worthy rep true christian roman catholics failed flock',TIN
89453,'honestly ridiculous grocery shopping need like',TIN
22946,'little known fact balaam raced donkeys gambled races one day fastest ass winning jerusalem sweepstakes right finish ass lost control running samaritan two africans local antifa saw whole thing blamed fastest ass',TIN
75611,'true krishn bhakt even care presence absence laws would issues typical chandigarh mentality one manship caged call anything krishn bhakt like cares',UNT
88594,'since sunday night sloth',TIN
40317,'things never change scotus clarence thomas hightechlynching amp maga fight back lies confirmkavanaugh djt kavanaugh metoo',UNT
53551,'bitch shut building self esteem',TIN
24797,'hand signal used ignorant people signal white supremacy evil people get lot satisfaction idea pissing liberals ignore displays ignorance hatefulness deserve time attention',UNT
46987,'usa uk probably europe australia level intelligence weez stoopid maga mega mbga mcga conservatives patriots celebrities',TIN
97760,'republicans going learn democrats hate conservatives vote thursday',TIN
81704,'amazon bitch antifa',TIN
57305,'lie certainly throwing gun control amp accountability window illegal involved hollering seeing shit hearing voices',TIN
87737,'one proof dnc hates cosnstitution exactly pres washington warned us farwell address dnc hates constitution stands way totalitarain agenda maybe push socialism gun control',TIN
50771,beast,TIN
60966,'committed many crimes care liar say belong prison maga',TIN
45019,'hahahaha omg people thought would way forever idiots',TIN
84724,'fool hill',TIN
98631,'course liberals reject truth accept falsehoods believe kanaugh believe ellison',TIN
16691,'nose distracts news',TIN
56181,'thank ms desanctis comforted conservatives letting ambition blind conscience sexual assault harassment plague society centuries make conservative traditionalist cause',TIN
96139,'trippin stop jumping conclusions',TIN
71104,'sicko thinks others scheme lie like lot liberals remember rham emanuel famous quote never let serious crisis go waste',TIN
11020,'battering rams used liberals sex amp racism sinister amp desperate beneathhumanity',TIN
49326,'apparently pos know viacom bought bet went black ownership white ownership',TIN
38533,'network organization put report actress li bingbing reports say missing reports say chinese government abducted heck going',UNT
32558,'desperation abuse power cause losing mind',TIN
43832,'gonna bitch write one',TIN
86646,'bet prick second hand pincushion maga',TIN
12223,'ancient homies couldnt cock cocks fighting literally illegal athens fjshdhjs',TIN
49452,'fucking delusional',TIN
56645,'great liberals ignore pain victims democrats really sick',TIN
92803,'losing ab literally whole offense',TIN
30471,'noticed broke away soon senate started talking great growth rate salary increases employees station crooked also negative conservatives praise liberals drainthedeepstate crookedmedia',TIN
93778,'absolute dick',TIN
65422,'well guess totally fine attack character mistake mean right american victim gun violence call stricter gun control laws anyway',TIN
20413,'liberals act emotion understanding law go around condemning every agree completely fucked rational nobody believed women years let believe women oh screw legal system men pigs guilty smh',TIN
24354,'obama must copying democrat thought please',TIN
74402,'surprise bit like falsely call conservatives fascists justify physically attacking trump nazi kill matter time suggest',TIN
19061,'lol idea nazis socialist complete inability grasp reality mind blowing antifa shit calling civil war defend slavery confederacy considered lincoln fascist hmmmm',TIN
86448,'lol exciting times god worst',TIN
92949,'bad life sucks u schiff brains ur going along wi ur criminal friends red line crossed lies u tell u never b anything belly snake maga trump schiff brains',TIN
20729,'let focus kavanaugh bringing cases make argument hypocrisy irrelevant like saying let investigate bank robbery liberals robbed banks try focus',TIN
29695,'prouduncle finest cheerleader te amo stinky butt',TIN
14179,'shit right also showed polish friends quite triggered',TIN
51118,'oh higher unemployment witch hunts lynch mobs antifa communist parades shit let hollywood decide feel',TIN
59703,'everything issue muslims go live another country like iran',TIN
73118,'admit anything read tweet please english rd language rather good antifa nazis name self messiah would still thugs fighting freedom free speach btw free speach hate speach man',TIN
26447,'holder held contempt congress prison fast furious murder',TIN
66845,'expose demons violating constitution violence amp threats run govt instead winning polls name domestic terrorists amp jail',TIN
29880,'gun control fun statue stupid child desk going change peoples case stupid give firearms free speech rights one government fuck',TIN
85882,'republicans platform take away healthcare harm environment take away children take away women rights believe rule law voter suppression gerrymandering take away social security limits gun control explodes budget voteblue',TIN
81239,'maybe talk double standards liberals conservatives somebody always victim',TIN
66048,'qanon maga think nothing happening',TIN
98294,'rosenstein attorneys helped vet kavanaugh sexual abuse charges go back highschool days proven amp named witness denies pathetic confirmkavanaugh pjnet ccot maga kag trump nomoreprogressiveliberals',TIN
98740,'ex obama administration personal yet see pattern folks actually publicly msm partner treason attempted coup etat',UNT
30337,'fuck u',TIN
67391,'niggaz buying pussy bitches trying buy love',TIN
48534,'also prohibited possessor thanks obama every soldier ptsd crazy administration get life insurance either still support nra work gun rights hoping trump fix wrongs labeling veterans means back door gun control',TIN
22086,'suffer fools seen enough shit last nine lives',TIN
86879,'gop conservatives evangelicals traditionalists catholics hypocrites',TIN
80462,'lmao suck nfl',TIN
55281,'well cut pages replace saying everyone needs chlorine c mon chicken',TIN
93035,'believe woman person would volunteer shit show experience true stand solidarity christine blasey ford',TIN
66585,'communist democrat socialists bad humans',TIN
38143,'hmmm piss portion population actually supported football shocked numbers took nose dive shocking',TIN
31945,'gets period cause',TIN
66398,'thus far people getting shot kicked places conservatives maga walkaway confirmkavanaugh',TIN
35786,'yeah take gun control policy advice jean company beyond trumps die hard almost enough snowflakes claim dislike hard tell part',TIN
13641,'yesonkavanaugh yes right thing yes conservatives power yes democrats miserable humans yes sick tired tantrums democrats yes freaking lost election please add reasons',TIN
92257,'manitoba ndp leader wab kinew carbontax proud allow ndp come right insane trudeau liberals winnipeg canada mbpoli',TIN
26317,'hahahahahahahaha may need change strategy acting like spoiled child throwing tantrum showing world sore loser national television great way improve anyone viewed',TIN
70481,'oh ok reversed important issue mental health got rid mental health conditions gun control great job guy liar proven amp worship away right',TIN
61942,'quick way get killed thanks antifa',TIN
27631,'wapo idiot comment disgrace journalism sad',TIN
40674,sucks,TIN
78494,'sides promised wall since ever anyone believe anything say promised since',TIN
21564,'fair positive liberals blobs cells',TIN
87824,'disgusting hypocrite',TIN
32310,'well would allow still protest stop speaker group really hitler early time nazi party group known ss would beat politicians people agree sounds familiar smells like antifa',TIN
70213,'fucking love true actually types jobs learn',UNT
90618,'nope mm way maybe time ask sky gone wrong foster cnn book first kp tweeted book liberals trump americans mm british known worst',TIN
94345,'saying relate gun control police departments prosecute family time limit access weapons police department reluctant acknowledge wrong doings correct dont deserve access weapons',TIN
90077,'ever stop lil cough eddandflow cough oh shit snapchat slip add',UNT
77180,'want gun control let corporations rip us americans stand cops assassinating unarmed black americans cops enemies americans want kill blacks america thanks',TIN
63408,'bitch complaining corporate lobby lmaooo',TIN
99383,'saw shit today made want politely ask could stylist early bangle bracelets unnecessary accessories like responsible words',TIN
35359,'yyyy fuck bitch decided gone steepppp',TIN
32776,'liberals grasp unproven straws notplastic',TIN
70434,'funny human rights pro abortion settles lies pacified deceives playboy',TIN
51128,'clearly racist anti senior citizen allow conservatives never take seriously start fair',TIN
19435,'damn fell victim little thing called tos much like ones site',UNT
84894,'kavanaugh confirmed two sexual deviants sitting supreme court conservatives nominated republicans democrats put women scotus republicans put perverted men lifetime stopkavanaugh stoptrump savescotus',TIN
45521,'liberals shame outcome justifies mean',TIN
87501,'coming guy worries straws cleaning failed shitty policies knows best lol',TIN
71984,'popular side equal winning side facts private schools much better job educating students public schools public school teachers get unfair perks deserve unfair private school teachers',TIN
99643,'fucking sad',TIN
63350,'suppose think way liberals attacked sarah palin courageous also another hypocrite',TIN
97846,'great american patriots dregs society warped delusional perspective joe blow biden disgrace america',TIN
74245,'joke another dirty tricks democrat george soros payroll democrat party knows shame maga',TIN
16278,'actual fuck ill report fucked',TIN
16251,'leak shit anyways lol',TIN
64189,'st world country bullshit like bullshit problems like fuck gun industry fuck dipshits enabling preventing sensible gun control',TIN
61788,'yes right lefties neo liberals trouble papers proper journalistic ethics funny magyar nemzet n pszabads g highest circulation also funny communistic past',TIN
95262,'great gun control takes concentration steady hand way go girl',TIN
80439,'disgusting tells anything need law n order conservatives n kavanaugh',UNT
89043,'would never guess employee plays covet fashion game ipad free time strange phobia dogs amazingly weird jump foot',TIN
13324,'go back canada freak',TIN
25808,'yep bc agreeing forcing adult memes choices individuals developed enough comprehend means homophobic',TIN
80698,'fit team agholor stay slot successful jmatt outside threat',TIN
32103,'nike lost billion kaepernick named face bullshit',TIN
52798,'google go hell',TIN
21629,'chicago ran democrats decades gop solve problems created begin act absolutely code gun control happening would help anyway need detectives start hiring',UNT
32717,'craziest mf sadly far worse examples good christians',TIN
92319,'working texas paid soros cartel fond cruz beto dangerous person another dnc sheeple',TIN
59657,'want kiss ass',TIN
83274,'beto also wants open borders illegals come go please also gun control espically semiautomatic weapons betonotfortexas',TIN
42234,'absolutely point debating liberal party swung far left nothing hate rationale fleeted side trump could create world peace utopian society liberals would still resist reason hatred',TIN
36226,'f hope since smarter th grader maybe',TIN
49622,'agree trump surprised see many liberals talk cute sneaking candy war criminal funeral',TIN
54050,'joebiden calls trump supporters dregs society biden organized coup ukraine son steals b ukrainian people leave country search jobs maga potus zog',TIN
34017,'destroying excuse beat time bullshitting also love',TIN
83754,'lies rumors spread liberals known pattern hell',TIN
31196,'shes old shes pushing gun control since lincoln assassination',TIN
85220,'grew listening k shit breaks heart rip',TIN
15817,'delusional idiot traitor',TIN
48118,'unwanted mother left flushes toilet goes antifa rally celebrate',TIN
84077,'ur head bout big shit',TIN
84770,'complete utter waste time liberals',TIN
48370,'blame trump weather corruption existed decades pr ass typical democratic',TIN
48479,'nigga snitched added spice top snitching',TIN
22130,'far right bastards literally everywhere luckily far left extremists like antifa jeremy corbyn supporters act counter balance',TIN
40746,'ben terrible person probably raped people vial human book nothing field play like personally',TIN
33232,'idiot fuck get people',TIN
33670,'start tweeting pussy ass shit',TIN
46033,'weak really beat ass',TIN
77845,'background kept wraps chance rabid maga cops law enforcement entities attempting keep quite trouble maga',UNT
40324,'bird ass',TIN
54691,'would name dogs breed fucking clue',TIN
62953,'many arrests taken place socialist media covering course coming arrests make socialists heads explode wwg wga maga drain swamp build wall',TIN
59895,'least brennan smart enough recognize trump lion smart enough know hurt trump hurting trump idiot fantasies',TIN
13692,'holy shit people say nebraska fan please take dead program somewhere else keep vcr around watch highlights',TIN
23560,'poor godless liberals',TIN
45485,'man tell body count refused woman fuck',TIN
95617,'dumbass really thinking hell pregnant last years',TIN
93402,'realize fool making weird obsession susansarandon maybe research b spouting nonsense',TIN
97658,'liberals today r different classical liberals liberals today gone far left r marxists burying head sand think neo amp classical libs trump authoritarian people say want amp killed',TIN
48474,'inciting violence towards trump supporters lists targeted antifa',TIN
35384,'nobody bitter women know worth spending life upgrading somebody son actually living becoming best versions go look cute maid outfit like always',TIN
11746,'poorly worded talking actual shooting means aftermath gun control aspect',TIN
90460,'witness protection wish cow mobile phone could call cows share escape govegan',TIN
46544,'need ladies spread pussy cam',TIN
57446,'wow really think works going tell wife going hell lol',TIN
30412,'still batting',TIN
94913,'antifa democrats gonna pay yuge november final nail coffin fruitcake trust funded fakenews journalism',TIN
88710,'good bitch hood missed crazy thing saying em smoke house used lit everyday',TIN
28150,'dos nra california lot lots worthless gun control laws already gun control work crazy people obey law',TIN
90308,'bitch posted kdksksks hope get better soon',TIN
35958,'lol escaped shit even regret watching minute loyalwolf',UNT
56689,'know never seen watch benfica games takes shit new level',TIN
40471,'likely forgot mental capacity dropping everyday woman fit serve longer like said trump remember part problems solution maga',TIN
51613,'liberals trumps fault',TIN
11519,'following tacozt bit sociopath moron lethal combos',UNT
92684,'democrat love great country standby watch liberal arm democratic party tries destroy everything love country walkaway actually runaway libshateamerica commiessuck maga kag everyone',TIN
28679,'shameful nra spending million get kavanaugh installed gun control pot tea',TIN
41642,'good democracy overrated read hans hermann hoppe democracy god failed',TIN
52687,'see gun control need leftist liberal control guns kill people idiotic immoral leftists liberalismisamentaldisorder demsaredangerous walkaway',TIN
78450,'yeah peaceful right well know right counter protests unlike fascist antifa k counted dianne abbott',UNT
49383,'sis mandys nose havin ass grim adventures billy mandy smell shit wheeew',TIN
89284,'living nickname tonight fucking nightmare ufc',TIN
12987,'tells us unserious attention seeker iphone',TIN
13087,'think countries following maga people sick overrun amp pay',UNT
48421,'bring great point morons really look life like movies gun control debate time seriously think shootout bad guy never hurt bystanders want arm teachers idiots',TIN
35308,'hahahahahaha said idiot handed billions iranians likely worst deal history us foreign policy poster child someone qualified job',TIN
55842,'people worst kind criminal playing emotions base fueling hatred country insane rhetoric playing constant mind games cause anger helping cause liberals catching',TIN
84775,'let come dc testify safely surrounded dnc street army antifa even let wear cute black masks way americans see diversity democrat party protect good',TIN
67852,'okay violent liberal antifa kkk hoods beating strangers know nothing',TIN
43569,'made wife take egghead bible challenge two kids obviously obnoxious loop shit isnt phasing',UNT
71717,'liberals democrats psychopaths yep something wrong',TIN
59633,'ask liberals seemingly forgotten war criminal',TIN
45078,'believe replaced american flag antifa flag',TIN
